LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,TotalValue
DEU,PHARMAEXP,TOT,USD_CAP,A,2014,741.0545,,30564.7928525
GRC,PHARMAEXP,TOT,USD_CAP,A,1970,41.4696,,186.544899569
GRC,PHARMAEXP,TOT,USD_CAP,A,1971,47.2381,,213.139913295
GRC,PHARMAEXP,TOT,USD_CAP,A,1972,51.4592,,233.62152607
GRC,PHARMAEXP,TOT,USD_CAP,A,1973,52.691,,240.192555792
GRC,PHARMAEXP,TOT,USD_CAP,A,1974,53.7709,,245.937449962
GRC,PHARMAEXP,TOT,USD_CAP,A,1975,66.1948,,305.484368364
GRC,PHARMAEXP,TOT,USD_CAP,A,1976,67.3191,,315.5859494
GRC,PHARMAEXP,TOT,USD_CAP,A,1977,72.0958,,342.522820052
GRC,PHARMAEXP,TOT,USD_CAP,A,1978,82.7879,,398.190509419
GRC,PHARMAEXP,TOT,USD_CAP,A,1979,85.748,,417.267860828
GRC,PHARMAEXP,TOT,USD_CAP,A,1980,92.6903,,455.03225467
GRC,PHARMAEXP,TOT,USD_CAP,A,1981,96.6297,,478.199126766
GRC,PHARMAEXP,TOT,USD_CAP,A,1982,85.6293,,426.158273283
GRC,PHARMAEXP,TOT,USD_CAP,A,1983,95.0923,,475.9419063
GRC,PHARMAEXP,TOT,USD_CAP,A,1984,98.6868,,496.282101048
GRC,PHARMAEXP,TOT,USD_CAP,A,1985,107.649,,543.136139964
GRC,PHARMAEXP,TOT,USD_CAP,A,1986,120.6157,,610.395772056
GRC,PHARMAEXP,TOT,USD_CAP,A,1987,94.6823,,480.858168213
GRC,PHARMAEXP,TOT,USD_CAP,A,1988,101.6227,,518.092950763
GRC,PHARMAEXP,TOT,USD_CAP,A,1989,109.865,,562.98012085
GRC,PHARMAEXP,TOT,USD_CAP,A,1990,120.1743,,619.776840179
GRC,PHARMAEXP,TOT,USD_CAP,A,1991,141.1136,,734.222104275
GRC,PHARMAEXP,TOT,USD_CAP,A,1992,164.4565,,863.715999523
GRC,PHARMAEXP,TOT,USD_CAP,A,1993,179.4321,,949.839252511
GRC,PHARMAEXP,TOT,USD_CAP,A,1994,197.51,,1053.27797033
GRC,PHARMAEXP,TOT,USD_CAP,A,1995,199.6184,,1072.01648245
GRC,PHARMAEXP,TOT,USD_CAP,A,1996,210.8783,,1139.97624718
GRC,PHARMAEXP,TOT,USD_CAP,A,1997,221.4353,,1204.32990926
GRC,PHARMAEXP,TOT,USD_CAP,A,1998,193.3991,,1057.51942994
GRC,PHARMAEXP,TOT,USD_CAP,A,1999,213.7968,,1174.32296614
GRC,PHARMAEXP,TOT,USD_CAP,A,2000,277.5792,,1529.86415942
GRC,PHARMAEXP,TOT,USD_CAP,A,2001,318.4614,,1766.1869244
GRC,PHARMAEXP,TOT,USD_CAP,A,2002,373.1743,,2077.8345024
GRC,PHARMAEXP,TOT,USD_CAP,A,2003,417.4346,,2332.2071102
GRC,PHARMAEXP,TOT,USD_CAP,A,2004,464.6323,,2606.587203
GRC,PHARMAEXP,TOT,USD_CAP,A,2005,510.3661,,2873.8715091
GRC,PHARMAEXP,TOT,USD_CAP,A,2006,598.5161,,3383.4115133
GRC,PHARMAEXP,TOT,USD_CAP,A,2007,684.9939,,3885.2854008
GRC,PHARMAEXP,TOT,USD_CAP,A,2009,887.8263,B,5055.2829522
GRC,PHARMAEXP,TOT,USD_CAP,A,2010,867.9326,,4931.5930332
GRC,PHARMAEXP,TOT,USD_CAP,A,2011,877.4566,,4976.9338352
GRC,PHARMAEXP,TOT,USD_CAP,A,2012,683.4105,,3868.10343
GRC,PHARMAEXP,TOT,USD_CAP,A,2013,685.1233,,0
GRC,PHARMAEXP,TOT,USD_CAP,A,2014,629.5885,,0
HUN,PHARMAEXP,TOT,USD_CAP,A,1991,158.5845,,855.721962
HUN,PHARMAEXP,TOT,USD_CAP,A,1992,162.4669,,876.9963262
HUN,PHARMAEXP,TOT,USD_CAP,A,1993,177.7791,,959.6515818
HUN,PHARMAEXP,TOT,USD_CAP,A,1994,197.7705,,1067.169618
HUN,PHARMAEXP,TOT,USD_CAP,A,1995,164.4744,,887.1749136
HUN,PHARMAEXP,TOT,USD_CAP,A,1996,170.9008,,920.9844112
HUN,PHARMAEXP,TOT,USD_CAP,A,1997,175.6706,,945.4591692
HUN,PHARMAEXP,TOT,USD_CAP,A,2001,276.9088,,1479.8006272
HUN,PHARMAEXP,TOT,USD_CAP,A,2002,307.9405,,1641.6308055
HUN,PHARMAEXP,TOT,USD_CAP,A,2003,351.673,B,1870.197014
HUN,PHARMAEXP,TOT,USD_CAP,A,2004,373.466,,1982.730994
HUN,PHARMAEXP,TOT,USD_CAP,A,2005,434.9114,,2304.1605972
HUN,PHARMAEXP,TOT,USD_CAP,A,2006,467.9606,,2475.0436134
HUN,PHARMAEXP,TOT,USD_CAP,A,2007,443.9478,,2344.4883318
HUN,PHARMAEXP,TOT,USD_CAP,A,2008,474.4333,,2501.2123576
HUN,PHARMAEXP,TOT,USD_CAP,A,2009,500.0466,,2631.7452558
HUN,PHARMAEXP,TOT,USD_CAP,A,2010,543.3102,B,2852.37855
HUN,PHARMAEXP,TOT,USD_CAP,A,2011,600.3876,,3142.4286984
HUN,PHARMAEXP,TOT,USD_CAP,A,2012,555.1409,,2886.73268
HUN,PHARMAEXP,TOT,USD_CAP,A,2013,531.8078,,2756.3598274
HUN,PHARMAEXP,TOT,USD_CAP,A,2014,543.1782,,2805.515403
ISL,PHARMAEXP,TOT,USD_CAP,A,1970,30.3093,,3.06730116
ISL,PHARMAEXP,TOT,USD_CAP,A,1971,39.4473,,4.0236246
ISL,PHARMAEXP,TOT,USD_CAP,A,1972,43.5006,,4.5023121
ISL,PHARMAEXP,TOT,USD_CAP,A,1973,41.1393,,4.3196265
ISL,PHARMAEXP,TOT,USD_CAP,A,1974,44.3232,,4.7204208
ISL,PHARMAEXP,TOT,USD_CAP,A,1975,61.221,,6.6057459
ISL,PHARMAEXP,TOT,USD_CAP,A,1976,58.1482,,6.3381538
ISL,PHARMAEXP,TOT,USD_CAP,A,1977,64.7436,,7.10884728
ISL,PHARMAEXP,TOT,USD_CAP,A,1978,78.1619,,8.66033852
ISL,PHARMAEXP,TOT,USD_CAP,A,1979,92.5674,,10.35829206
ISL,PHARMAEXP,TOT,USD_CAP,A,1980,120.2494,B,13.60020714
ISL,PHARMAEXP,TOT,USD_CAP,A,1981,129.7097,,14.85176065
ISL,PHARMAEXP,TOT,USD_CAP,A,1982,150.3952,,17.46088272
ISL,PHARMAEXP,TOT,USD_CAP,A,1983,187.1767,,22.03069759
ISL,PHARMAEXP,TOT,USD_CAP,A,1984,176.3213,,20.9822347
ISL,PHARMAEXP,TOT,USD_CAP,A,1985,197.1481,,23.657772
ISL,PHARMAEXP,TOT,USD_CAP,A,1986,214.6499,,25.9726379
ISL,PHARMAEXP,TOT,USD_CAP,A,1987,225.1027,,27.55257048
ISL,PHARMAEXP,TOT,USD_CAP,A,1988,236.5809,,29.43066396
ISL,PHARMAEXP,TOT,USD_CAP,A,1989,248.5855,,31.2720559
ISL,PHARMAEXP,TOT,USD_CAP,A,1990,225.1247,,28.56832443
ISL,PHARMAEXP,TOT,USD_CAP,A,1991,214.6203,,27.60017058
ISL,PHARMAEXP,TOT,USD_CAP,A,1992,224.0624,,29.17292448
ISL,PHARMAEXP,TOT,USD_CAP,A,1993,223.3557,,29.37127455
ISL,PHARMAEXP,TOT,USD_CAP,A,1994,240.5709,,31.89970134
ISL,PHARMAEXP,TOT,USD_CAP,A,1995,255.3973,,34.04446009
ISL,PHARMAEXP,TOT,USD_CAP,A,1996,276.3589,,37.05972849
ISL,PHARMAEXP,TOT,USD_CAP,A,1997,319.3291,,43.14136141
ISL,PHARMAEXP,TOT,USD_CAP,A,1998,349.4721,,47.77283607
ISL,PHARMAEXP,TOT,USD_CAP,A,1999,374.6064,,51.84552576
ISL,PHARMAEXP,TOT,USD_CAP,A,2000,396.4545,,55.6622118
ISL,PHARMAEXP,TOT,USD_CAP,A,2001,400.3625,,56.9703826625
ISL,PHARMAEXP,TOT,USD_CAP,A,2002,442.2647,,63.5529951253
ISL,PHARMAEXP,TOT,USD_CAP,A,2003,487.4764,,70.4691009076
ISL,PHARMAEXP,TOT,USD_CAP,A,2004,513.906,D,74.97374634
ISL,PHARMAEXP,TOT,USD_CAP,A,2005,475.4857,D,70.0937244655
ISL,PHARMAEXP,TOT,USD_CAP,A,2006,465.8258,D,69.8957638126
ISL,PHARMAEXP,TOT,USD_CAP,A,2007,455.8884,D,69.536657652
ISL,PHARMAEXP,TOT,USD_CAP,A,2008,528.6845,D,82.5694165255
ISL,PHARMAEXP,TOT,USD_CAP,A,2009,567.7606,D,89.5347110988
ISL,PHARMAEXP,TOT,USD_CAP,A,2010,538.5963,D,85.1886995784
ISL,PHARMAEXP,TOT,USD_CAP,A,2011,518.1617,,82.2991046493
ISL,PHARMAEXP,TOT,USD_CAP,A,2012,506.8256,D,80.998333264
ISL,PHARMAEXP,TOT,USD_CAP,A,2013,505.9994,D,81.6612191684
ISL,PHARMAEXP,TOT,USD_CAP,A,2014,490.2653,D,79.9786943175
IRL,PHARMAEXP,TOT,USD_CAP,A,1975,37.7649,,59.67987147
IRL,PHARMAEXP,TOT,USD_CAP,A,1976,39.1542,,62.842491
IRL,PHARMAEXP,TOT,USD_CAP,A,1977,41.877,,68.1296913
IRL,PHARMAEXP,TOT,USD_CAP,A,1978,48.0813,,79.2379824
IRL,PHARMAEXP,TOT,USD_CAP,A,1979,51.7824,,86.73034176
IRL,PHARMAEXP,TOT,USD_CAP,A,1980,56.3269,,95.3051148
IRL,PHARMAEXP,TOT,USD_CAP,A,1981,53.4963,,91.69800783
IRL,PHARMAEXP,TOT,USD_CAP,A,1982,56.4988,,97.9689192
IRL,PHARMAEXP,TOT,USD_CAP,A,1983,55.9963,,97.86473351
IRL,PHARMAEXP,TOT,USD_CAP,A,1984,61.0567,,107.5819054
IRL,PHARMAEXP,TOT,USD_CAP,A,1985,65.2013,,115.3410997
IRL,PHARMAEXP,TOT,USD_CAP,A,1986,68.4257,,121.1819147
IRL,PHARMAEXP,TOT,USD_CAP,A,1987,73.413,,130.3961706
IRL,PHARMAEXP,TOT,USD_CAP,A,1988,79.5448,,140.94543112
IRL,PHARMAEXP,TOT,USD_CAP,A,1989,89.0807,,157.27197585
IRL,PHARMAEXP,TOT,USD_CAP,A,1990,95.9005,,169.08217155
IRL,PHARMAEXP,TOT,USD_CAP,A,1991,101.8639,,180.53338997
IRL,PHARMAEXP,TOT,USD_CAP,A,1992,110.5752,,197.49836472
IRL,PHARMAEXP,TOT,USD_CAP,A,1993,117.342,,210.7579662
IRL,PHARMAEXP,TOT,USD_CAP,A,1994,125.5679,,226.34869654
IRL,PHARMAEXP,TOT,USD_CAP,A,1995,135.4643,,245.58322947
IRL,PHARMAEXP,TOT,USD_CAP,A,1996,152.518,,278.4826162
IRL,PHARMAEXP,TOT,USD_CAP,A,1997,162.1916,,299.22728284
IRL,PHARMAEXP,TOT,USD_CAP,A,1998,182.5209,,340.25546178
IRL,PHARMAEXP,TOT,USD_CAP,A,1999,207.2088,,390.1741704
IRL,PHARMAEXP,TOT,USD_CAP,A,2000,247.9466,,472.73498756
IRL,PHARMAEXP,TOT,USD_CAP,A,2001,293.6677,,567.98269857
IRL,PHARMAEXP,TOT,USD_CAP,A,2002,339.7688,,669.6843048
IRL,PHARMAEXP,TOT,USD_CAP,A,2003,380.3543,,761.81162747
IRL,PHARMAEXP,TOT,USD_CAP,A,2004,431.3615,,877.08733795
IRL,PHARMAEXP,TOT,USD_CAP,A,2005,479.2085,,992.920012
IRL,PHARMAEXP,TOT,USD_CAP,A,2006,544.0566,,1151.00614296
IRL,PHARMAEXP,TOT,USD_CAP,A,2007,596.8624,,1303.90559904
IRL,PHARMAEXP,TOT,USD_CAP,A,2008,638.2478,,1433.8236827
IRL,PHARMAEXP,TOT,USD_CAP,A,2009,667.1097,,1518.40838817
IRL,PHARMAEXP,TOT,USD_CAP,A,2010,679.3251,,1557.42072426
IRL,PHARMAEXP,TOT,USD_CAP,A,2011,650.854,,1499.8279576
IRL,PHARMAEXP,TOT,USD_CAP,A,2012,656.3849,,1520.05615142
IRL,PHARMAEXP,TOT,USD_CAP,A,2013,722.797,B,1676.3830821
IRL,PHARMAEXP,TOT,USD_CAP,A,2014,703.3938,,1638.83721462
ITA,PHARMAEXP,TOT,USD_CAP,A,1988,247.9225,,7221.2386575
ITA,PHARMAEXP,TOT,USD_CAP,A,1989,268.1372,,7821.0258496
ITA,PHARMAEXP,TOT,USD_CAP,A,1990,274.7038,,8012.0110308
ITA,PHARMAEXP,TOT,USD_CAP,A,1991,290.6004,,8476.2324672
ITA,PHARMAEXP,TOT,USD_CAP,A,1992,301.8188,,8819.145336
ITA,PHARMAEXP,TOT,USD_CAP,A,1993,288.9235,,8382.18790806
ITA,PHARMAEXP,TOT,USD_CAP,A,1994,291.4221,,8482.44346425
ITA,PHARMAEXP,TOT,USD_CAP,A,1995,294.5137,B,8593.82141189
ITA,PHARMAEXP,TOT,USD_CAP,A,1996,314.8784,,9202.51646461
ITA,PHARMAEXP,TOT,USD_CAP,A,1997,341.687,,10002.7126646
ITA,PHARMAEXP,TOT,USD_CAP,A,1998,369.9997,,10846.9667052
ITA,PHARMAEXP,TOT,USD_CAP,A,1999,390.847,,11466.9741467
ITA,PHARMAEXP,TOT,USD_CAP,A,2000,427.2697,,12558.7382921
ITA,PHARMAEXP,TOT,USD_CAP,A,2001,481.0191,,14173.2277815
ITA,PHARMAEXP,TOT,USD_CAP,A,2002,481.4777,,14215.1476148
ITA,PHARMAEXP,TOT,USD_CAP,A,2003,477.8978,,14109.932545
ITA,PHARMAEXP,TOT,USD_CAP,A,2004,494.6056,,14594.045514
ITA,PHARMAEXP,TOT,USD_CAP,A,2005,505.0457,,15003.6855364
ITA,PHARMAEXP,TOT,USD_CAP,A,2006,543.9713,,16233.0392226
ITA,PHARMAEXP,TOT,USD_CAP,A,2007,550.4332,,16508.6750994
ITA,PHARMAEXP,TOT,USD_CAP,A,2008,577.7234,,17469.9223234
ITA,PHARMAEXP,TOT,USD_CAP,A,2009,581.2027,,17699.7959131
ITA,PHARMAEXP,TOT,USD_CAP,A,2010,582.7964,,17838.9315669
ITA,PHARMAEXP,TOT,USD_CAP,A,2011,587.6796,,18068.6324313
ITA,PHARMAEXP,TOT,USD_CAP,A,2012,575.3258,,17754.6634999
ITA,PHARMAEXP,TOT,USD_CAP,A,2013,583.796,,18098.1605507
ITA,PHARMAEXP,TOT,USD_CAP,A,2014,544.2059,B,16922.0606923
JPN,PHARMAEXP,TOT,USD_CAP,A,1980,115.3592,,6860.0655464
JPN,PHARMAEXP,TOT,USD_CAP,A,1984,152.5359,,9316.892772
JPN,PHARMAEXP,TOT,USD_CAP,A,1985,155.1714,,9551.1100128
JPN,PHARMAEXP,TOT,USD_CAP,A,1986,169.0109,,10456.1973503
JPN,PHARMAEXP,TOT,USD_CAP,A,1987,192.985,,11998.456405
JPN,PHARMAEXP,TOT,USD_CAP,A,1988,207.2022,,12935.8405482
JPN,PHARMAEXP,TOT,USD_CAP,A,1989,234.6631,,14707.0404663
JPN,PHARMAEXP,TOT,USD_CAP,A,1990,239.2258,,15050.6519812
JPN,PHARMAEXP,TOT,USD_CAP,A,1991,273.5047,,17268.8132533
JPN,PHARMAEXP,TOT,USD_CAP,A,1992,282.4522,,17895.0415832
JPN,PHARMAEXP,TOT,USD_CAP,A,1993,305.192,,19390.678912
JPN,PHARMAEXP,TOT,USD_CAP,A,1994,309.352,,19707.578512
JPN,PHARMAEXP,TOT,USD_CAP,A,1995,309.1641,,19785.2657436
JPN,PHARMAEXP,TOT,USD_CAP,A,1996,315.8322,,20269.1630994
JPN,PHARMAEXP,TOT,USD_CAP,A,1997,313.4264,,20172.4365304
JPN,PHARMAEXP,TOT,USD_CAP,A,1998,297.2591,,19193.4255688
JPN,PHARMAEXP,TOT,USD_CAP,A,1999,320.554,,20744.331556
JPN,PHARMAEXP,TOT,USD_CAP,A,2000,352.4419,,22843.5217485
JPN,PHARMAEXP,TOT,USD_CAP,A,2001,380.9193,,24777.6577071
JPN,PHARMAEXP,TOT,USD_CAP,A,2002,392.3122,,25572.0861326
JPN,PHARMAEXP,TOT,USD_CAP,A,2003,429.3783,,28044.8436645
JPN,PHARMAEXP,TOT,USD_CAP,A,2004,452.9754,,29620.9673568
JPN,PHARMAEXP,TOT,USD_CAP,A,2005,487.6811,,31903.6098809
JPN,PHARMAEXP,TOT,USD_CAP,A,2006,510.5979,,33413.526576
JPN,PHARMAEXP,TOT,USD_CAP,A,2007,544.0083,,35611.3273263
JPN,PHARMAEXP,TOT,USD_CAP,A,2008,567.7201,,37152.1710641
JPN,PHARMAEXP,TOT,USD_CAP,A,2009,629.1567,,41134.265046
JPN,PHARMAEXP,TOT,USD_CAP,A,2010,656.1511,,43128.811803
JPN,PHARMAEXP,TOT,USD_CAP,A,2011,718.4562,,47141.503563
JPN,PHARMAEXP,TOT,USD_CAP,A,2012,758.65,,49680.9539
JPN,PHARMAEXP,TOT,USD_CAP,A,2013,782.7626,,51183.2808888
KOR,PHARMAEXP,TOT,USD_CAP,A,1970,3.3364,,53.156258808
KOR,PHARMAEXP,TOT,USD_CAP,A,1971,3.1604,,51.305364728
KOR,PHARMAEXP,TOT,USD_CAP,A,1972,3.2375,,53.580527875
KOR,PHARMAEXP,TOT,USD_CAP,A,1973,3.2898,,55.493234646
KOR,PHARMAEXP,TOT,USD_CAP,A,1974,3.3325,,57.2458183
KOR,PHARMAEXP,TOT,USD_CAP,A,1975,5.9503,,104.21890947
KOR,PHARMAEXP,TOT,USD_CAP,A,1976,7.2009,,128.104155018
KOR,PHARMAEXP,TOT,USD_CAP,A,1977,7.8053,,140.982294614
KOR,PHARMAEXP,TOT,USD_CAP,A,1978,10.1163,,185.451303459
KOR,PHARMAEXP,TOT,USD_CAP,A,1979,15.4053,,286.613757864
KOR,PHARMAEXP,TOT,USD_CAP,A,1980,17.8459,,337.074073036
KOR,PHARMAEXP,TOT,USD_CAP,A,1981,21.8612,,419.463305284
KOR,PHARMAEXP,TOT,USD_CAP,A,1982,24.4741,,476.974755936
KOR,PHARMAEXP,TOT,USD_CAP,A,1983,27.5669,,545.308567632
KOR,PHARMAEXP,TOT,USD_CAP,A,1984,29.2345,,585.58983791
KOR,PHARMAEXP,TOT,USD_CAP,A,1985,32.7019,,661.564015266
KOR,PHARMAEXP,TOT,USD_CAP,A,1986,35.4067,,723.772431256
KOR,PHARMAEXP,TOT,USD_CAP,A,1987,39.4231,,814.548659501
KOR,PHARMAEXP,TOT,USD_CAP,A,1988,46.5359,,971.484379118
KOR,PHARMAEXP,TOT,USD_CAP,A,1989,59.9094,,1263.58809651
KOR,PHARMAEXP,TOT,USD_CAP,A,1990,65.7922,,1401.44623142
KOR,PHARMAEXP,TOT,USD_CAP,A,1991,71.3505,,1534.87697239
KOR,PHARMAEXP,TOT,USD_CAP,A,1992,77.4026,,1682.29210321
KOR,PHARMAEXP,TOT,USD_CAP,A,1993,84.0563,,1845.20978154
KOR,PHARMAEXP,TOT,USD_CAP,A,1994,91.1584,,2020.89421594
KOR,PHARMAEXP,TOT,USD_CAP,A,1995,103.9897,,2328.0860471
KOR,PHARMAEXP,TOT,USD_CAP,A,1996,119.9918,,2711.83507861
KOR,PHARMAEXP,TOT,USD_CAP,A,1997,127.1771,,2900.33608228
KOR,PHARMAEXP,TOT,USD_CAP,A,1998,121.6447,,2796.70653587
KOR,PHARMAEXP,TOT,USD_CAP,A,1999,144.4026,,3344.19670898
KOR,PHARMAEXP,TOT,USD_CAP,A,2000,175.6395,,4099.66128693
KOR,PHARMAEXP,TOT,USD_CAP,A,2001,201.6972,,4742.75435116
KOR,PHARMAEXP,TOT,USD_CAP,A,2002,215.6248,,5099.98795707
KOR,PHARMAEXP,TOT,USD_CAP,A,2003,255.1309,,6064.36199195
KOR,PHARMAEXP,TOT,USD_CAP,A,2004,279.3298,,6668.70009211
KOR,PHARMAEXP,TOT,USD_CAP,A,2005,308.0177,,7376.15222491
KOR,PHARMAEXP,TOT,USD_CAP,A,2006,359.1211,,8643.73962406
KOR,PHARMAEXP,TOT,USD_CAP,A,2007,382.1006,,9242.07354652
KOR,PHARMAEXP,TOT,USD_CAP,A,2008,400.7713,,9767.8145401
KOR,PHARMAEXP,TOT,USD_CAP,A,2009,420.6088,,10312.2930784
KOR,PHARMAEXP,TOT,USD_CAP,A,2010,453.7485,,11186.0757336
KOR,PHARMAEXP,TOT,USD_CAP,A,2011,466.3212,,11582.0662765
KOR,PHARMAEXP,TOT,USD_CAP,A,2012,459.941,,11482.3718721
KOR,PHARMAEXP,TOT,USD_CAP,A,2013,470.9193,,11813.9524791
KOR,PHARMAEXP,TOT,USD_CAP,A,2014,487.4256,,12285.0748224
LUX,PHARMAEXP,TOT,USD_CAP,A,1995,274.8046,,57.1695245702
LUX,PHARMAEXP,TOT,USD_CAP,A,1996,275.9418,,58.1889511332
LUX,PHARMAEXP,TOT,USD_CAP,A,1997,303.8553,,64.8500135472
LUX,PHARMAEXP,TOT,USD_CAP,A,1998,316.8503,,68.3915035544
LUX,PHARMAEXP,TOT,USD_CAP,A,1999,356.9362,,77.9894888914
LUX,PHARMAEXP,TOT,USD_CAP,A,2000,382.5495,B,84.65820435
LUX,PHARMAEXP,TOT,USD_CAP,A,2001,415.5978,,93.0939072
LUX,PHARMAEXP,TOT,USD_CAP,A,2002,459.4361,,103.97038943
LUX,PHARMAEXP,TOT,USD_CAP,A,2003,491.1128,,111.92460712
LUX,PHARMAEXP,TOT,USD_CAP,A,2004,526.8263,,121.32809689
LUX,PHARMAEXP,TOT,USD_CAP,A,2005,519.6022,,121.11927282
LUX,PHARMAEXP,TOT,USD_CAP,A,2006,562.2157,,133.2451209
LUX,PHARMAEXP,TOT,USD_CAP,A,2007,587.1026,,141.13946504
LUX,PHARMAEXP,TOT,USD_CAP,A,2008,607.325,,148.308765
LUX,PHARMAEXP,TOT,USD_CAP,A,2009,626.6435,,155.84623845
LUX,PHARMAEXP,TOT,USD_CAP,A,2010,618.9361,,156.40515247
LUX,PHARMAEXP,TOT,USD_CAP,A,2011,536.2454,B,137.92231688
LUX,PHARMAEXP,TOT,USD_CAP,A,2012,549.8183,,144.6022129
LUX,PHARMAEXP,TOT,USD_CAP,A,2013,565.3348,P,151.84892728
LUX,PHARMAEXP,TOT,USD_CAP,A,2014,563.0244,P,154.60650024
MEX,PHARMAEXP,TOT,USD_CAP,A,1999,85.0222,,4166.38452748
MEX,PHARMAEXP,TOT,USD_CAP,A,2000,96.5687,,4801.02300882
MEX,PHARMAEXP,TOT,USD_CAP,A,2001,105.263,,5305.58572582
MEX,PHARMAEXP,TOT,USD_CAP,A,2002,120.7261,,6162.67263065
MEX,PHARMAEXP,TOT,USD_CAP,A,2003,230.6509,B,11910.4388215
MEX,PHARMAEXP,TOT,USD_CAP,A,2004,242.4807,,12654.4106103
MEX,PHARMAEXP,TOT,USD_CAP,A,2005,260.1944,,14232.9381074
MEX,PHARMAEXP,TOT,USD_CAP,A,2006,267.9837,,14845.6377401
MEX,PHARMAEXP,TOT,USD_CAP,A,2007,279.0117,,15663.9763189
MEX,PHARMAEXP,TOT,USD_CAP,A,2008,280.6724,,15977.3774121
MEX,PHARMAEXP,TOT,USD_CAP,A,2009,288.5659,,16652.4888157
MEX,PHARMAEXP,TOT,USD_CAP,A,2010,287.0493,,16779.0764445
MEX,PHARMAEXP,TOT,USD_CAP,A,2011,265.7899,,15724.946459
MEX,PHARMAEXP,TOT,USD_CAP,A,2012,289.3438,,17325.7562852
MEX,PHARMAEXP,TOT,USD_CAP,A,2013,279.3099,,16921.7389126
MEX,PHARMAEXP,TOT,USD_CAP,A,2014,279.1165,B,17103.5055054
NLD,PHARMAEXP,TOT,USD_CAP,A,1972,32.8955,,219.699932446
NLD,PHARMAEXP,TOT,USD_CAP,A,1973,35.0476,,236.238628181
NLD,PHARMAEXP,TOT,USD_CAP,A,1974,37.777,,256.815676954
NLD,PHARMAEXP,TOT,USD_CAP,A,1975,41.527,,284.962052957
NLD,PHARMAEXP,TOT,USD_CAP,A,1976,43.4041,,300.348819687
NLD,PHARMAEXP,TOT,USD_CAP,A,1977,45.6765,,318.219177229
NLD,PHARMAEXP,TOT,USD_CAP,A,1978,49.383,,346.440066093
NLD,PHARMAEXP,TOT,USD_CAP,A,1979,53.6247,,379.041312102
NLD,PHARMAEXP,TOT,USD_CAP,A,1980,58.7526,,418.81338515
NLD,PHARMAEXP,TOT,USD_CAP,A,1981,63.9156,,459.053855333
NLD,PHARMAEXP,TOT,USD_CAP,A,1982,71.2531,,514.490703885
NLD,PHARMAEXP,TOT,USD_CAP,A,1983,74.4052,,539.712627214
NLD,PHARMAEXP,TOT,USD_CAP,A,1984,82.1117,,598.374644203
NLD,PHARMAEXP,TOT,USD_CAP,A,1985,89.6573,,656.699645687
NLD,PHARMAEXP,TOT,USD_CAP,A,1986,98.423,,725.165605281
NLD,PHARMAEXP,TOT,USD_CAP,A,1987,108.368,,803.664565392
NLD,PHARMAEXP,TOT,USD_CAP,A,1988,114.8554,,857.394871868
NLD,PHARMAEXP,TOT,USD_CAP,A,1989,120.916,,908.244935836
NLD,PHARMAEXP,TOT,USD_CAP,A,1990,135.3239,,1023.38942958
NLD,PHARMAEXP,TOT,USD_CAP,A,1991,145.3754,,1107.73670643
NLD,PHARMAEXP,TOT,USD_CAP,A,1992,167.385,,1284.90099058
NLD,PHARMAEXP,TOT,USD_CAP,A,1993,182.9994,,1414.54693213
NLD,PHARMAEXP,TOT,USD_CAP,A,1994,186.3928,,1449.4189309
NLD,PHARMAEXP,TOT,USD_CAP,A,1995,197.0107,,1539.46525108
NLD,PHARMAEXP,TOT,USD_CAP,A,1996,204.4913,,1605.45138072
NLD,PHARMAEXP,TOT,USD_CAP,A,1997,209.5567,,1653.86569286
NLD,PHARMAEXP,TOT,USD_CAP,A,1998,230.689,B,1831.7943093
NLD,PHARMAEXP,TOT,USD_CAP,A,1999,249.2002,,1991.68101406
NLD,PHARMAEXP,TOT,USD_CAP,A,2000,273.3001,,2199.36233054
NLD,PHARMAEXP,TOT,USD_CAP,A,2001,298.5904,,2420.15551282
NLD,PHARMAEXP,TOT,USD_CAP,A,2002,324.5363,,2646.66135459
NLD,PHARMAEXP,TOT,USD_CAP,A,2005,385.2308,B,3177.45105379
NLD,PHARMAEXP,TOT,USD_CAP,A,2006,406.8884,,3362.17622046
NLD,PHARMAEXP,TOT,USD_CAP,A,2007,443.7637,,3674.98559271
NLD,PHARMAEXP,TOT,USD_CAP,A,2008,453.3143,,3767.65743382
NLD,PHARMAEXP,TOT,USD_CAP,A,2009,453.6011,,3787.7742127
NLD,PHARMAEXP,TOT,USD_CAP,A,2010,457.2409,,3837.12676732
NLD,PHARMAEXP,TOT,USD_CAP,A,2011,465.1039,,3920.7779713
NLD,PHARMAEXP,TOT,USD_CAP,A,2012,419.2013,,3546.38263301
NLD,PHARMAEXP,TOT,USD_CAP,A,2013,406.5655,,3449.12687883
NLD,PHARMAEXP,TOT,USD_CAP,A,2014,400.7423,,0
NZL,PHARMAEXP,TOT,USD_CAP,A,1971,24.5485,,35.1780005
NZL,PHARMAEXP,TOT,USD_CAP,A,1976,41.6343,,64.949508
NZL,PHARMAEXP,TOT,USD_CAP,A,1980,57.2186,,90.405388
NZL,PHARMAEXP,TOT,USD_CAP,A,1981,57.9056,,91.8961872
NZL,PHARMAEXP,TOT,USD_CAP,A,1982,68.0196,,108.9673992
